tid,win_id,insts,uniq4k,ppki4k,new4k,newpageski,new_frac,jac,churn,cluster_id,hot
0,0,25000000,8906,0.35624,8906,0.35624,1.0,0.0,1.0,1,0
0,1,25000000,6105,0.2442,6104,0.24416,0.999836,6.7e-05,0.999933,1,0
0,2,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,3,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,4,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,5,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,6,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,7,25000000,6110,0.2444,6109,0.24436,0.999836,8.2e-05,0.999918,1,0
0,8,25000000,141181,5.64724,140803,5.63212,0.997323,0.002573,0.997427,3,0
0,9,25000000,131796,5.27184,39166,1.56664,0.297171,0.513621,0.486379,0,0
0,10,25000000,237049,9.48196,145977,5.83908,0.615809,0.327865,0.6721349999999999,2,1
0,11,25000000,70643,2.82572,36176,1.44704,0.512096,0.126149,0.8738509999999999,2,1
0,12,25000000,188710,7.5484,149719,5.98876,0.793381,0.176941,0.823059,2,1
0,13,25000000,204041,8.16164,98480,3.9392,0.482648,0.367565,0.6324350000000001,2,1
0,14,25000000,148357,5.93428,12922,0.51688,0.087101,0.624231,0.375769,0,0
0,15,25000000,5336,0.21344,4738,0.18952,0.887931,0.003906,0.996094,1,0
0,16,25000000,6104,0.24416,6103,0.24412,0.999836,8.7e-05,0.999913,1,0
0,17,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,18,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,19,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,20,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,21,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,22,25000000,50600,2.024,50589,2.02356,0.999783,0.000194,0.999806,1,0
0,23,25000000,121995,4.8798,82279,3.29116,0.674446,0.298888,0.701112,2,1
0,24,25000000,128677,5.14708,36770,1.4708,0.285754,0.578887,0.42111299999999996,0,0
0,25,25000000,145675,5.827,54796,2.19184,0.376152,0.495326,0.5046740000000001,0,0
0,26,25000000,166517,6.66068,99063,3.96252,0.594912,0.275617,0.724383,2,1
0,27,25000000,112994,4.51976,53029,2.12116,0.469308,0.273132,0.7268680000000001,2,1
0,28,25000000,6104,0.24416,6078,0.24312,0.99574,0.000218,0.999782,1,0
0,29,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,30,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,31,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,32,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,33,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,34,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,35,25000000,130433,5.21732,130239,5.20956,0.998513,0.001423,0.998577,3,0
0,36,25000000,151082,6.04328,39306,1.57224,0.260163,0.658517,0.341483,0,0
0,37,25000000,155172,6.20688,34178,1.36712,0.220259,0.653104,0.346896,0,0
0,38,25000000,186269,7.45076,74150,2.966,0.39808,0.488915,0.511085,0,0
0,39,25000000,226044,9.04176,132419,5.29676,0.585811,0.293783,0.706217,2,1
0,40,25000000,181593,7.26372,94575,3.783,0.520808,0.271406,0.728594,2,1
0,41,25000000,218187,8.72748,109609,4.38436,0.502363,0.372861,0.627139,2,1
0,42,25000000,171727,6.86908,60455,2.4182,0.352041,0.399337,0.600663,2,1
0,43,25000000,100309,4.01236,14574,0.58296,0.145291,0.460196,0.539804,0,0
0,44,25000000,6235,0.2494,6160,0.2464,0.987971,0.000704,0.999296,1,0
0,45,25000000,6105,0.2442,6104,0.24416,0.999836,8.1e-05,0.999919,1,0
0,46,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,47,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,48,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,49,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,50,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,51,25000000,121059,4.84236,121058,4.84232,0.999992,8e-06,0.999992,3,0
0,52,25000000,140736,5.62944,41841,1.67364,0.297301,0.60709,0.39291,0,0
0,53,25000000,147070,5.8828,32983,1.31932,0.224267,0.656733,0.343267,0,0
0,54,25000000,168581,6.74324,49244,1.96976,0.292109,0.607888,0.392112,0,0
0,55,25000000,168278,6.73112,45615,1.8246,0.271069,0.572667,0.42733299999999996,0,0
0,56,25000000,239367,9.57468,131131,5.24524,0.547824,0.361499,0.638501,2,1
0,57,25000000,203796,8.15184,109143,4.36572,0.53555,0.271593,0.728407,2,1
0,58,25000000,115977,4.63908,62872,2.51488,0.542107,0.199143,0.800857,2,1
0,59,25000000,148375,5.935,52363,2.09452,0.35291,0.570346,0.429654,0,0
0,60,25000000,6539,0.26156,5578,0.22312,0.853036,0.006242,0.993758,1,0
0,61,25000000,6105,0.2442,6104,0.24416,0.999836,7.9e-05,0.999921,1,0
0,62,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,63,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,64,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,65,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,66,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,67,25000000,98181,3.92724,98019,3.92076,0.99835,0.001556,0.998444,3,0
0,68,25000000,153064,6.12256,66022,2.64088,0.431336,0.530088,0.469912,0,0
0,69,25000000,144692,5.78768,41162,1.64648,0.28448,0.533039,0.46696099999999996,0,0
0,70,25000000,145746,5.82984,70232,2.80928,0.481879,0.351352,0.648648,2,1
0,71,25000000,138501,5.54004,86559,3.46236,0.62497,0.223594,0.776406,2,1
0,72,25000000,203409,8.13636,127334,5.09336,0.626,0.286174,0.7138260000000001,2,1
0,73,25000000,206975,8.279,82724,3.30896,0.399681,0.434242,0.565758,2,1
0,74,25000000,159236,6.36944,23383,0.93532,0.146845,0.589747,0.410253,0,0
0,75,25000000,75996,3.03984,11095,0.4438,0.145995,0.381029,0.6189709999999999,0,0
0,76,25000000,6105,0.2442,6104,0.24416,0.999836,1.2e-05,0.999988,1,0
0,77,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,78,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,79,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,80,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,81,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,82,25000000,19482,0.77928,19480,0.7792,0.999897,7.8e-05,0.999922,1,0
0,83,25000000,154642,6.18568,141261,5.65044,0.913471,0.083245,0.916755,3,0
0,84,25000000,234785,9.3914,130647,5.22588,0.556454,0.365026,0.6349739999999999,2,1
0,85,25000000,247752,9.91008,131186,5.24744,0.529505,0.318512,0.681488,2,1
0,86,25000000,172042,6.88168,87357,3.49428,0.507766,0.252709,0.7472909999999999,2,1
0,87,25000000,149752,5.99008,84228,3.36912,0.56245,0.255683,0.744317,2,1
0,88,25000000,125272,5.01088,25292,1.01168,0.201897,0.571171,0.428829,0,0
0,89,25000000,6896,0.27584,6673,0.26692,0.967662,0.00169,0.99831,1,0
0,90,25000000,6105,0.2442,6104,0.24416,0.999836,7.7e-05,0.999923,1,0
0,91,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,92,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,93,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,94,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
