tid,win_id,insts,uniq4k,ppki4k,new4k,newpageski,new_frac,jac,churn,cluster_id,hot
0,0,25000000,8427,0.33708,8427,0.33708,1.0,0.0,1.0,1,0
0,1,25000000,6105,0.2442,6104,0.24416,0.999836,6.9e-05,0.999931,1,0
0,2,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,3,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,4,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,5,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,6,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,7,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,8,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,9,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,10,25000000,22038,0.88152,21776,0.87104,0.988111,0.009397,0.990603,1,0
0,11,25000000,37942,1.51768,35687,1.42748,0.940567,0.039065,0.960935,2,1
0,12,25000000,31449,1.25796,28093,1.12372,0.893288,0.050822,0.949178,2,1
0,13,25000000,10912,0.43648,9253,0.37012,0.847966,0.04076,0.95924,3,0
0,14,25000000,38102,1.52408,36605,1.4642,0.960711,0.031505,0.968495,2,1
0,15,25000000,30563,1.22252,26987,1.07948,0.882996,0.05494,0.94506,2,1
0,16,25000000,33771,1.35084,29861,1.19444,0.88422,0.064709,0.935291,2,1
0,17,25000000,18723,0.74892,16936,0.67744,0.904556,0.035242,0.964758,3,0
0,18,25000000,6104,0.24416,5977,0.23908,0.979194,0.005142,0.994858,1,0
0,19,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,20,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,21,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,22,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,23,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,24,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,25,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,26,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,27,25000000,4107,0.16428,4106,0.16424,0.999757,9.8e-05,0.999902,1,0
0,28,25000000,28275,1.131,27494,1.09976,0.972378,0.024714,0.975286,2,1
0,29,25000000,26906,1.07624,19670,0.7868,0.731064,0.150923,0.849077,0,0
0,30,25000000,35481,1.41924,30072,1.20288,0.847552,0.094931,0.905069,0,0
0,31,25000000,26374,1.05496,24832,0.99328,0.941533,0.025567,0.974433,2,1
0,32,25000000,33454,1.33816,28404,1.13616,0.849046,0.09219,0.90781,0,0
0,33,25000000,39272,1.57088,36943,1.47772,0.940696,0.033084,0.966916,2,1
0,34,25000000,32414,1.29656,27860,1.1144,0.859505,0.067837,0.932163,0,0
0,35,25000000,6813,0.27252,5510,0.2204,0.808748,0.034358,0.965642,3,0
0,36,25000000,6104,0.24416,6103,0.24412,0.999836,7.7e-05,0.999923,1,0
0,37,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,38,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,39,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,40,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,41,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,42,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,43,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,44,25000000,10586,0.42344,10548,0.42192,0.99641,0.002282,0.997718,1,0
0,45,25000000,39812,1.59248,38649,1.54596,0.970788,0.023621,0.976379,2,1
0,46,25000000,30677,1.22708,25552,1.02208,0.832937,0.078407,0.921593,0,0
0,47,25000000,34865,1.3946,29507,1.18028,0.846322,0.089027,0.910973,0,0
0,48,25000000,29532,1.18128,24586,0.98344,0.832521,0.083195,0.916805,0,0
0,49,25000000,23416,0.93664,21527,0.86108,0.919329,0.036996,0.963004,2,1
0,50,25000000,38695,1.5478,34062,1.36248,0.880269,0.080605,0.919395,0,0
0,51,25000000,43807,1.75228,40848,1.63392,0.932454,0.0372,0.9628,2,1
0,52,25000000,9232,0.36928,7904,0.31616,0.856153,0.025681,0.974319,3,0
0,53,25000000,6104,0.24416,6016,0.24064,0.985583,0.005771,0.994229,1,0
0,54,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,55,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,56,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,57,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,58,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,59,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,60,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,61,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,62,25000000,30864,1.23456,30689,1.22756,0.99433,0.004756,0.995244,2,1
0,63,25000000,35357,1.41428,32215,1.2886,0.911135,0.049811,0.950189,2,1
0,64,25000000,34979,1.39916,28711,1.14844,0.820807,0.097834,0.902166,0,0
0,65,25000000,33810,1.3524,27842,1.11368,0.823484,0.095,0.905,0,0
0,66,25000000,26956,1.07824,24009,0.96036,0.890674,0.050969,0.949031,2,1
0,67,25000000,37922,1.51688,32909,1.31636,0.867808,0.083738,0.916262,0,0
0,68,25000000,35075,1.403,32828,1.31312,0.935937,0.03176,0.96824,2,1
0,69,25000000,6532,0.26128,5573,0.22292,0.853184,0.023593,0.976407,3,0
0,70,25000000,6105,0.2442,6104,0.24416,0.999836,7.9e-05,0.999921,1,0
0,71,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,72,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,73,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,74,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,75,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,76,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,77,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,78,25000000,7509,0.30036,7507,0.30028,0.999734,0.000147,0.999853,1,0
0,79,25000000,37141,1.48564,36261,1.45044,0.976307,0.020105,0.979895,2,1
0,80,25000000,38906,1.55624,32939,1.31756,0.84663,0.085146,0.9148540000000001,0,0
0,81,25000000,29453,1.17812,24481,0.97924,0.831189,0.078439,0.921561,0,0
0,82,25000000,29425,1.177,26600,1.064,0.903993,0.050399,0.949601,2,1
0,83,25000000,31324,1.25296,26187,1.04748,0.836004,0.092372,0.907628,0,0
0,84,25000000,32830,1.3132,26756,1.07024,0.814986,0.10458,0.89542,0,0
0,85,25000000,31466,1.25864,28354,1.13416,0.9011,0.050863,0.949137,2,1
0,86,25000000,38225,1.529,34640,1.3856,0.906213,0.054231,0.945769,2,1
0,87,25000000,22902,0.91608,19491,0.77964,0.851061,0.0591,0.9409,3,0
0,88,25000000,6104,0.24416,5759,0.23036,0.94348,0.012037,0.987963,1,0
0,89,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,90,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,91,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,92,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,93,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,94,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,95,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,96,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,97,25000000,4414,0.17656,4413,0.17652,0.999773,9.5e-05,0.999905,1,0
0,98,25000000,6702,0.26808,6693,0.26772,0.998657,0.00081,0.99919,1,0
0,99,25000000,6104,0.24416,6103,0.24412,0.999836,7.8e-05,0.999922,1,0
0,100,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,101,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,102,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,103,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,104,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,105,25000000,6104,0.24416,6103,0.24412,0.999836,8.2e-05,0.999918,1,0
0,106,25000000,6105,0.2442,6104,0.24416,0.999836,8.2e-05,0.999918,1,0
0,107,25000000,14466,0.57864,14400,0.576,0.995438,0.003219,0.996781,1,0
0,108,25000000,31688,1.26752,29855,1.1942,0.942155,0.041357,0.958643,2,1
