tid,win_id,insts,uniq4k,ppki4k,new4k,newpageski,new_frac,jac,churn,cluster_id,hot
0,0,25000000,7472,0.29888,7472,0.29888,1.0,0.0,1.0,0,0
0,1,25000000,6115,0.2446,6104,0.24416,0.998201,0.00081,0.99919,0,0
0,2,25000000,132776,5.31104,129534,5.18136,0.975583,0.0239,0.9761,2,1
0,3,25000000,12877,0.51508,8134,0.32536,0.631669,0.03366,0.96634,0,0
0,4,25000000,5967,0.23868,2544,0.10176,0.426345,0.22197,0.77803,1,0
0,5,25000000,31157,1.24628,30974,1.23896,0.994127,0.004954,0.995046,0,0
0,6,25000000,5793,0.23172,5481,0.21924,0.946142,0.008516,0.991484,0,0
0,7,25000000,99054,3.96216,98759,3.95036,0.997022,0.002822,0.997178,2,1
0,8,25000000,47431,1.89724,43740,1.7496,0.922182,0.025848,0.974152,0,0
0,9,25000000,19081,0.76324,10636,0.42544,0.557413,0.145435,0.854565,1,0
0,10,25000000,23817,0.95268,18826,0.75304,0.790444,0.131664,0.868336,0,0
0,11,25000000,4296,0.17184,2995,0.1198,0.69716,0.048523,0.951477,0,0
0,12,25000000,4912,0.19648,4311,0.17244,0.877647,0.069827,0.930173,0,0
0,13,25000000,6117,0.24468,6103,0.24412,0.997711,0.001271,0.998729,0,0
0,14,25000000,135049,5.40196,131692,5.26768,0.975142,0.02436,0.97564,2,1
0,15,25000000,16585,0.6634,11451,0.45804,0.690443,0.035044,0.964956,0,0
0,16,25000000,5603,0.22412,2005,0.0802,0.357844,0.193545,0.806455,1,0
0,17,25000000,23135,0.9254,22924,0.91696,0.99088,0.007397,0.992603,0,0
0,18,25000000,7101,0.28404,5620,0.2248,0.791438,0.051504,0.948496,0,0
0,19,25000000,102025,4.081,100864,4.03456,0.98862,0.010753,0.989247,2,1
0,20,25000000,138346,5.53384,37848,1.51392,0.273575,0.718495,0.281505,3,0
0,21,25000000,24899,0.99596,18777,0.75108,0.754127,0.038963,0.961037,0,0
0,22,25000000,10490,0.4196,5251,0.21004,0.500572,0.173765,0.826235,1,0
0,23,25000000,19290,0.7716,19043,0.76172,0.987195,0.008364,0.991636,0,0
0,24,25000000,6682,0.26728,5800,0.232,0.868004,0.035153,0.964847,0,0
0,25,25000000,28920,1.1568,27038,1.08152,0.934924,0.055813,0.944187,0,0
0,26,25000000,16416,0.65664,11671,0.46684,0.710953,0.116898,0.883102,0,0
0,27,25000000,15139,0.60556,10690,0.4276,0.706123,0.164133,0.835867,0,0
0,28,25000000,16551,0.66204,13442,0.53768,0.812156,0.108779,0.891221,0,0
0,29,25000000,5820,0.2328,2743,0.10972,0.471306,0.15948,0.8405199999999999,1,0
0,30,25000000,12568,0.50272,12393,0.49572,0.986076,0.009609,0.990391,0,0
0,31,25000000,6398,0.25592,5943,0.23772,0.928884,0.02458,0.97542,0,0
0,32,25000000,63654,2.54616,60525,2.421,0.950844,0.046755,0.953245,0,0
0,33,25000000,9934,0.39736,6018,0.24072,0.605798,0.056206,0.943794,0,0
0,34,25000000,9961,0.39844,6844,0.27376,0.68708,0.185779,0.814221,0,0
0,35,25000000,7523,0.30092,7255,0.2902,0.964376,0.015567,0.984433,0,0
0,36,25000000,7110,0.2844,5593,0.22372,0.786639,0.11566,0.88434,0,0
0,37,25000000,52485,2.0994,51004,2.04016,0.971782,0.025484,0.974516,0,0
0,38,25000000,133384,5.33536,86573,3.46292,0.649051,0.336629,0.6633709999999999,2,1
0,39,25000000,137631,5.50524,6583,0.26332,0.047831,0.936278,0.06372199999999995,3,0
0,40,25000000,21171,0.84684,15752,0.63008,0.744037,0.03533,0.96467,0,0
0,41,25000000,11493,0.45972,6429,0.25716,0.559384,0.183478,0.816522,1,0
0,42,25000000,14145,0.5658,13912,0.55648,0.983528,0.009171,0.990829,0,0
0,43,25000000,6250,0.25,5243,0.20972,0.83888,0.051939,0.948061,0,0
0,44,25000000,8226,0.32904,7601,0.30404,0.924021,0.045123,0.954877,0,0
0,45,25000000,11751,0.47004,6695,0.2678,0.569739,0.338851,0.661149,1,0
0,46,25000000,11500,0.46,5216,0.20864,0.453565,0.370366,0.629634,1,0
0,47,25000000,5151,0.20604,3537,0.14148,0.686663,0.107335,0.892665,0,0
0,48,25000000,5754,0.23016,5284,0.21136,0.918318,0.045041,0.954959,0,0
0,49,25000000,6117,0.24468,6103,0.24412,0.997711,0.001181,0.998819,0,0
0,50,25000000,19915,0.7966,13800,0.552,0.692945,0.307024,0.692976,1,0
0,51,25000000,11446,0.45784,3285,0.1314,0.287,0.351767,0.6482330000000001,1,0
0,52,25000000,3761,0.15044,1023,0.04092,0.272002,0.219585,0.780415,1,0
0,53,25000000,5452,0.21808,5321,0.21284,0.975972,0.014424,0.985576,0,0
0,54,25000000,5894,0.23576,5864,0.23456,0.99491,0.002651,0.997349,0,0
0,55,25000000,120199,4.80796,116828,4.67312,0.971955,0.027469,0.972531,2,1
0,56,25000000,11649,0.46596,7014,0.28056,0.602112,0.036435,0.963565,0,0
0,57,25000000,21831,0.87324,17192,0.68768,0.787504,0.160847,0.839153,0,0
0,58,25000000,33971,1.35884,33226,1.32904,0.97807,0.013531,0.986469,0,0
0,59,25000000,6244,0.24976,5246,0.20984,0.840167,0.025448,0.974552,0,0
0,60,25000000,6524,0.26096,5813,0.23252,0.891018,0.05897,0.94103,0,0
0,61,25000000,12962,0.51848,7907,0.31628,0.610014,0.350288,0.6497120000000001,1,0
0,62,25000000,10518,0.42072,4106,0.16424,0.390378,0.375674,0.6243259999999999,1,0
0,63,25000000,13001,0.52004,9846,0.39384,0.757326,0.15493,0.84507,0,0
0,64,25000000,6382,0.25528,5805,0.2322,0.909589,0.030682,0.969318,0,0
0,65,25000000,5324,0.21296,5151,0.20604,0.967506,0.015,0.985,0,0
0,66,25000000,6116,0.24464,6102,0.24408,0.997711,0.001225,0.998775,0,0
0,67,25000000,10829,0.43316,4716,0.18864,0.435497,0.564346,0.435654,1,0
0,68,25000000,14872,0.59488,6713,0.26852,0.451385,0.465112,0.534888,1,0
0,69,25000000,4776,0.19104,1179,0.04716,0.246859,0.224098,0.775902,1,0
0,70,25000000,5090,0.2036,4944,0.19776,0.971316,0.015021,0.984979,0,0
0,71,25000000,6290,0.2516,5991,0.23964,0.952464,0.026983,0.973017,0,0
0,72,25000000,134993,5.39972,134719,5.38876,0.99797,0.001943,0.998057,2,1
0,73,25000000,133430,5.3372,2578,0.10312,0.019321,0.95116,0.048839999999999995,3,0
0,74,25000000,138321,5.53284,7428,0.29712,0.053701,0.929255,0.07074499999999995,3,0
0,75,25000000,9409,0.37636,4972,0.19888,0.52843,0.030965,0.969035,0,0
0,76,25000000,13263,0.53052,11556,0.46224,0.871296,0.081421,0.918579,0,0
0,77,25000000,5461,0.21844,4685,0.1874,0.857901,0.043236,0.956764,0,0
0,78,25000000,6116,0.24464,6102,0.24408,0.997711,0.001211,0.998789,0,0
0,79,25000000,137384,5.49536,134137,5.36548,0.976366,0.023151,0.976849,2,1
0,80,25000000,12215,0.4886,7533,0.30132,0.616701,0.032308,0.967692,0,0
0,81,25000000,5034,0.20136,1971,0.07884,0.391538,0.215917,0.784083,1,0
0,82,25000000,31544,1.26176,31259,1.25036,0.990965,0.007853,0.992147,0,0
0,83,25000000,6116,0.24464,6100,0.244,0.997384,0.000425,0.999575,0,0
0,84,25000000,9591,0.38364,3477,0.13908,0.362527,0.63734,0.36266,1,0
0,85,25000000,14979,0.59916,6692,0.26768,0.446759,0.508936,0.49106399999999994,1,0
0,86,25000000,7284,0.29136,2520,0.1008,0.345964,0.272244,0.7277560000000001,1,0
0,87,25000000,11579,0.46316,11371,0.45484,0.982036,0.01115,0.98885,0,0
0,88,25000000,6542,0.26168,5844,0.23376,0.893305,0.040062,0.959938,0,0
0,89,25000000,78440,3.1376,75671,3.02684,0.964699,0.033681,0.966319,2,1
0,90,25000000,12878,0.51512,8241,0.32964,0.639929,0.053495,0.946505,0,0
0,91,25000000,8577,0.34308,4748,0.18992,0.553574,0.217236,0.782764,1,0
