tid,win_id,insts,uniq4k,ppki4k,new4k,newpageski,new_frac,jac,churn,cluster_id,hot
0,0,25000000,7152,0.28608,7152,0.28608,1.0,0.0,1.0,0,0
0,1,25000000,46661,1.86644,44030,1.7612,0.943615,0.051405,0.948595,2,1
0,2,25000000,12708,0.50832,8496,0.33984,0.668555,0.076364,0.923636,3,0
0,3,25000000,29042,1.16168,26632,1.06528,0.917017,0.061261,0.938739,0,0
0,4,25000000,12430,0.4972,10637,0.42548,0.855752,0.045188,0.954812,0,0
0,5,25000000,12298,0.49192,8319,0.33276,0.676451,0.191768,0.8082320000000001,3,0
0,6,25000000,23847,0.95388,22172,0.88688,0.929761,0.048593,0.951407,0,0
0,7,25000000,53279,2.13116,42727,1.70908,0.801948,0.1585,0.8415,2,1
0,8,25000000,30632,1.22528,8883,0.35532,0.289991,0.349876,0.6501239999999999,1,0
0,9,25000000,56642,2.26568,30096,1.20384,0.531337,0.437129,0.562871,1,0
0,10,25000000,21325,0.853,10497,0.41988,0.492239,0.161277,0.838723,3,0
0,11,25000000,18607,0.74428,14150,0.566,0.760466,0.125638,0.874362,0,0
0,12,25000000,49611,1.98444,42234,1.68936,0.851303,0.12125,0.87875,2,1
0,13,25000000,60177,2.40708,13807,0.55228,0.22944,0.73118,0.26881999999999995,1,0
0,14,25000000,10734,0.42936,6288,0.25152,0.585802,0.066892,0.933108,3,0
0,15,25000000,13064,0.52256,12798,0.51192,0.979639,0.011304,0.988696,0,0
0,16,25000000,34951,1.39804,32521,1.30084,0.930474,0.053307,0.946693,2,1
0,17,25000000,23634,0.94536,18807,0.75228,0.79576,0.089791,0.910209,0,0
0,18,25000000,12930,0.5172,9058,0.36232,0.700541,0.118439,0.881561,3,0
0,19,25000000,47967,1.91868,44753,1.79012,0.932996,0.055718,0.944282,2,1
0,20,25000000,57608,2.30432,24089,0.96356,0.418154,0.46518,0.5348200000000001,1,0
0,21,25000000,8702,0.34808,4782,0.19128,0.549529,0.062831,0.937169,3,0
0,22,25000000,37727,1.50908,34613,1.38452,0.91746,0.071892,0.928108,2,1
0,23,25000000,7311,0.29244,3716,0.14864,0.508275,0.086746,0.913254,3,0
0,24,25000000,9031,0.36124,5142,0.20568,0.569372,0.312294,0.6877059999999999,3,0
0,25,25000000,12683,0.50732,10102,0.40408,0.796499,0.134898,0.865102,0,0
0,26,25000000,22096,0.88384,18724,0.74896,0.847393,0.107365,0.892635,0,0
0,27,25000000,10135,0.4054,8004,0.32016,0.789739,0.070797,0.929203,0,0
0,28,25000000,17794,0.71176,15690,0.6276,0.881758,0.081471,0.918529,0,0
0,29,25000000,74416,2.97664,69712,2.78848,0.936788,0.053756,0.946244,2,1
0,30,25000000,6548,0.26192,2696,0.10784,0.411729,0.049953,0.950047,3,0
0,31,25000000,26221,1.04884,25498,1.01992,0.972427,0.022561,0.977439,0,0
0,32,25000000,28544,1.14176,28439,1.13756,0.996321,0.001921,0.998079,0,0
0,33,25000000,37976,1.51904,29786,1.19144,0.784337,0.140408,0.859592,2,1
0,34,25000000,27984,1.11936,18042,0.72168,0.644726,0.177479,0.8225210000000001,3,0
0,35,25000000,5445,0.2178,1629,0.06516,0.299174,0.128862,0.871138,3,0
0,36,25000000,9811,0.39244,5936,0.23744,0.605035,0.34048,0.65952,3,0
0,37,25000000,24087,0.96348,20467,0.81868,0.849711,0.119559,0.880441,0,0
0,38,25000000,31915,1.2766,22340,0.8936,0.699984,0.206238,0.793762,0,0
0,39,25000000,48076,1.92304,20260,0.8104,0.421416,0.533129,0.46687100000000004,1,0
0,40,25000000,51694,2.06776,21874,0.87496,0.423144,0.426305,0.5736950000000001,1,0
0,41,25000000,4363,0.17452,2123,0.08492,0.486592,0.041623,0.958377,3,0
0,42,25000000,56548,2.26192,55677,2.22708,0.984597,0.014507,0.985493,2,1
0,43,25000000,9777,0.39108,7219,0.28876,0.738366,0.040115,0.959885,0,0
0,44,25000000,22260,0.8904,19748,0.78992,0.887152,0.08508,0.91492,0,0
0,45,25000000,8917,0.35668,5765,0.2306,0.646518,0.112471,0.887529,3,0
0,46,25000000,7860,0.3144,3970,0.1588,0.505089,0.301855,0.698145,3,0
0,47,25000000,42323,1.69292,40870,1.6348,0.965669,0.029817,0.970183,2,1
0,48,25000000,54693,2.18772,30029,1.20116,0.549046,0.340889,0.659111,1,0
0,49,25000000,15808,0.63232,11082,0.44328,0.701037,0.071851,0.928149,0,0
0,50,25000000,29398,1.17592,27179,1.08716,0.924519,0.05162,0.94838,0,0
0,51,25000000,29401,1.17604,21589,0.86356,0.734295,0.153216,0.846784,0,0
0,52,25000000,9364,0.37456,5289,0.21156,0.564823,0.117469,0.882531,3,0
0,53,25000000,22590,0.9036,20306,0.81224,0.898893,0.07698,0.92302,0,0
0,54,25000000,14799,0.59196,11264,0.45056,0.761133,0.104419,0.895581,0,0
0,55,25000000,23831,0.95324,19799,0.79196,0.830809,0.116539,0.883461,0,0
