tid,win_id,insts,uniq4k,ppki4k,new4k,newpageski,new_frac,jac,churn,cluster_id,hot
0,0,25000000,6602,0.26408,6602,0.26408,1.0,0.0,1.0,1,0
0,1,25000000,9952,0.39808,8929,0.35716,0.897207,0.065868,0.934132,2,1
0,2,25000000,4176,0.16704,3818,0.15272,0.914272,0.025999,0.974001,1,0
0,3,25000000,4395,0.1758,3720,0.1488,0.846416,0.085486,0.914514,1,0
0,4,25000000,4479,0.17916,4279,0.17116,0.955347,0.023057,0.976943,1,0
0,5,25000000,5147,0.20588,4811,0.19244,0.934719,0.036168,0.963832,1,0
0,6,25000000,4425,0.177,3656,0.14624,0.826215,0.087357,0.912643,1,0
0,7,25000000,5791,0.23164,5428,0.21712,0.937317,0.036842,0.963158,1,0
0,8,25000000,4808,0.19232,3841,0.15364,0.798877,0.100395,0.899605,1,0
0,9,25000000,5211,0.20844,2316,0.09264,0.444444,0.406373,0.593627,0,0
0,10,25000000,2417,0.09668,2063,0.08252,0.853537,0.048666,0.951334,1,0
0,11,25000000,9981,0.39924,9773,0.39092,0.97916,0.017063,0.982937,2,1
0,12,25000000,11035,0.4414,9513,0.38052,0.862075,0.078075,0.921925,2,1
0,13,25000000,12523,0.50092,11184,0.44736,0.893077,0.060264,0.939736,2,1
0,14,25000000,4400,0.176,2811,0.11244,0.638864,0.103626,0.896374,3,0
0,15,25000000,4496,0.17984,3612,0.14448,0.803381,0.110334,0.889666,1,0
0,16,25000000,4240,0.1696,2633,0.10532,0.620991,0.225417,0.774583,3,0
0,17,25000000,4934,0.19736,2589,0.10356,0.524726,0.343388,0.656612,3,0
0,18,25000000,4779,0.19116,2903,0.11612,0.607449,0.239377,0.760623,3,0
0,19,25000000,3696,0.14784,3071,0.12284,0.830898,0.079618,0.920382,1,0
0,20,25000000,9045,0.3618,8900,0.356,0.983969,0.011512,0.988488,2,1
0,21,25000000,9713,0.38852,7895,0.3158,0.812828,0.10732,0.89268,2,1
0,22,25000000,11302,0.45208,10625,0.425,0.940099,0.033287,0.966713,2,1
0,23,25000000,4478,0.17912,2193,0.08772,0.489728,0.169322,0.830678,3,0
0,24,25000000,4591,0.18364,4187,0.16748,0.912002,0.046624,0.953376,1,0
0,25,25000000,4263,0.17052,3622,0.14488,0.849636,0.078047,0.921953,1,0
0,26,25000000,4849,0.19396,4624,0.18496,0.953599,0.025318,0.974682,1,0
0,27,25000000,4387,0.17548,3558,0.14232,0.811033,0.098608,0.901392,1,0
0,28,25000000,5505,0.2202,3365,0.1346,0.611262,0.276058,0.723942,3,0
0,29,25000000,3071,0.12284,2998,0.11992,0.976229,0.008585,0.991415,1,0
0,30,25000000,4512,0.18048,4386,0.17544,0.972074,0.016897,0.983103,1,0
0,31,25000000,5465,0.2186,5197,0.20788,0.950961,0.027603,0.972397,1,0
0,32,25000000,12484,0.49936,11724,0.46896,0.939122,0.044214,0.955786,2,1
0,33,25000000,4370,0.1748,3629,0.14516,0.830435,0.045988,0.954012,1,0
0,34,25000000,9773,0.39092,9278,0.37112,0.94935,0.036269,0.963731,2,1
0,35,25000000,9118,0.36472,6480,0.2592,0.710682,0.162308,0.837692,2,1
0,36,25000000,4150,0.166,3412,0.13648,0.822169,0.058899,0.941101,1,0
0,37,25000000,5026,0.20104,3115,0.1246,0.619777,0.263042,0.736958,3,0
0,38,25000000,4996,0.19984,1794,0.07176,0.359087,0.469501,0.530499,0,0
0,39,25000000,3929,0.15716,2139,0.08556,0.544413,0.250876,0.749124,3,0
0,40,25000000,10690,0.4276,10431,0.41724,0.975772,0.018036,0.981964,2,1
0,41,25000000,5956,0.23824,5200,0.208,0.873069,0.047577,0.952423,1,0
0,42,25000000,8917,0.35668,8285,0.3314,0.929124,0.044379,0.955621,2,1
