tid,win_id,insts,uniq4k,ppki4k,new4k,newpageski,new_frac,jac,churn,cluster_id,hot
0,0,25000000,63410,2.5364,63410,2.5364,1.0,0.0,1.0,2,1
0,1,25000000,69104,2.76416,35608,1.42432,0.515281,0.338282,0.661718,1,0
0,2,25000000,87937,3.51748,86953,3.47812,0.98881,0.006305,0.993695,2,1
0,3,25000000,4738,0.18952,3708,0.14832,0.782609,0.011239,0.988761,0,0
0,4,25000000,58161,2.32644,57432,2.29728,0.987466,0.011726,0.988274,2,1
0,5,25000000,96793,3.87172,54965,2.1986,0.567861,0.369747,0.630253,1,0
0,6,25000000,88033,3.52132,29726,1.18904,0.337669,0.460856,0.5391440000000001,1,0
0,7,25000000,31591,1.26364,9969,0.39876,0.315565,0.220628,0.779372,3,0
0,8,25000000,75131,3.00524,54895,2.1958,0.730657,0.23398,0.76602,1,0
0,9,25000000,101903,4.07612,48547,1.94188,0.476404,0.431411,0.568589,1,0
0,10,25000000,66688,2.66752,20310,0.8124,0.304553,0.379485,0.6205149999999999,1,0
0,11,25000000,96744,3.86976,51535,2.0614,0.532695,0.382404,0.617596,1,0
0,12,25000000,52593,2.10372,15747,0.62988,0.299412,0.327546,0.672454,1,0
0,13,25000000,41075,1.643,20586,0.82344,0.501181,0.279985,0.7200150000000001,1,0
0,14,25000000,99834,3.99336,68308,2.73232,0.684216,0.288217,0.711783,1,0
0,15,25000000,71722,2.86888,20958,0.83832,0.292212,0.42026,0.5797399999999999,1,0
0,16,25000000,102997,4.11988,52464,2.09856,0.509374,0.406914,0.593086,1,0
0,17,25000000,93571,3.74284,32436,1.29744,0.346646,0.451404,0.548596,1,0
0,18,25000000,7264,0.29056,1049,0.04196,0.144411,0.065684,0.934316,3,0
0,19,25000000,5622,0.22488,3992,0.15968,0.710068,0.144812,0.8551880000000001,0,0
0,20,25000000,80437,3.21748,76826,3.07304,0.955108,0.043797,0.956203,2,1
0,21,25000000,78682,3.14728,31371,1.25484,0.398706,0.423145,0.576855,1,0
0,22,25000000,84143,3.36572,35475,1.419,0.421604,0.426325,0.5736749999999999,1,0
0,23,25000000,85259,3.41036,33686,1.34744,0.395102,0.437694,0.562306,1,0
0,24,25000000,58534,2.34136,19225,0.769,0.328442,0.37622,0.62378,1,0
0,25,25000000,7032,0.28128,2005,0.0802,0.285125,0.083037,0.916963,3,0
0,26,25000000,5700,0.228,5510,0.2204,0.966667,0.015149,0.984851,0,0
0,27,25000000,3188,0.12752,3042,0.12168,0.954203,0.016701,0.983299,0,0
0,28,25000000,60659,2.42636,59608,2.38432,0.982674,0.016737,0.983263,2,1
0,29,25000000,110358,4.41432,63928,2.55712,0.579278,0.372671,0.627329,1,0
0,30,25000000,89434,3.57736,25020,1.0008,0.279759,0.475808,0.524192,1,0
0,31,25000000,4957,0.19828,1890,0.0756,0.381279,0.033584,0.9664159999999999,3,0
0,32,25000000,89217,3.56868,86040,3.4416,0.96439,0.034913,0.965087,2,1
0,33,25000000,63358,2.53432,19731,0.78924,0.311421,0.400439,0.599561,1,0
0,34,25000000,63954,2.55816,29672,1.18688,0.463958,0.368505,0.6314949999999999,1,0
0,35,25000000,6851,0.27404,4192,0.16768,0.611881,0.039019,0.960981,0,0
0,36,25000000,76994,3.07976,74062,2.96248,0.961919,0.036236,0.963764,2,1
0,37,25000000,60324,2.41296,23577,0.94308,0.390839,0.365384,0.6346160000000001,1,0
