tid,win_id,insts,uniq4k,ppki4k,new4k,newpageski,new_frac,jac,churn,cluster_id,hot
0,0,25000000,53215,2.1286,53215,2.1286,1.0,0.0,1.0,1,1
0,1,25000000,69159,2.76636,54284,2.17136,0.784916,0.138373,0.861627,1,1
0,2,25000000,58674,2.34696,19738,0.78952,0.336401,0.43799,0.56201,3,0
0,3,25000000,48734,1.94936,12228,0.48912,0.250913,0.51488,0.48512,0,0
0,4,25000000,62326,2.49304,25473,1.01892,0.408706,0.496624,0.503376,3,0
0,5,25000000,56639,2.26556,12788,0.51152,0.225781,0.583793,0.416207,0,0
0,6,25000000,59030,2.3612,17813,0.71252,0.301762,0.553605,0.446395,3,0
0,7,25000000,34889,1.39556,10872,0.43488,0.311617,0.343581,0.656419,2,0
0,8,25000000,58628,2.34512,35237,1.40948,0.601027,0.333557,0.666443,3,0
0,9,25000000,53854,2.15416,15932,0.63728,0.295837,0.508611,0.49138899999999996,0,0
0,10,25000000,46184,1.84736,13532,0.54128,0.293002,0.484552,0.515448,0,0
0,11,25000000,58615,2.3446,21356,0.85424,0.364344,0.551658,0.448342,3,0
0,12,25000000,52650,2.106,10410,0.4164,0.197721,0.611952,0.38804799999999995,0,0
0,13,25000000,56873,2.27492,15813,0.63252,0.278041,0.59974,0.40025999999999995,0,0
0,14,25000000,56906,2.27624,15081,0.60324,0.265016,0.581274,0.41872600000000004,0,0
0,15,25000000,53048,2.12192,13024,0.52096,0.245513,0.572344,0.42765600000000004,0,0
0,16,25000000,66637,2.66548,23136,0.92544,0.347195,0.570999,0.42900099999999997,3,0
0,17,25000000,51211,2.04844,12026,0.48104,0.234832,0.498138,0.501862,0,0
0,18,25000000,60838,2.43352,23854,0.95416,0.39209,0.492693,0.507307,3,0
0,19,25000000,59460,2.3784,17004,0.68016,0.285974,0.545413,0.45458699999999996,3,0
0,20,25000000,59244,2.36976,14674,0.58696,0.247688,0.601209,0.398791,0,0
