tid,win_id,insts,uniq4k,ppki4k,new4k,newpageski,new_frac,jac,churn,cluster_id,hot
0,0,25000000,20062,0.80248,20062,0.80248,1.0,0.0,1.0,3,1
0,1,25000000,11086,0.44344,10855,0.4342,0.979163,0.007472,0.992528,0,0
0,2,25000000,9387,0.37548,8097,0.32388,0.862576,0.067247,0.9327529999999999,1,0
0,3,25000000,24039,0.96156,22870,0.9148,0.951371,0.03624,0.96376,3,1
0,4,25000000,10512,0.42048,8489,0.33956,0.807553,0.062193,0.9378070000000001,1,0
0,5,25000000,2612,0.10448,2565,0.1026,0.982006,0.003594,0.996406,0,0
0,6,25000000,1488,0.05952,1467,0.05868,0.985887,0.005148,0.994852,0,0
0,7,25000000,10381,0.41524,10229,0.40916,0.985358,0.012973,0.987027,0,0
0,8,25000000,4209,0.16836,3259,0.13036,0.774293,0.069648,0.930352,1,0
0,9,25000000,27009,1.08036,26552,1.06208,0.98308,0.014856,0.985144,3,1
0,10,25000000,5586,0.22344,5010,0.2004,0.896885,0.017989,0.982011,0,0
0,11,25000000,3485,0.1394,3433,0.13732,0.985079,0.005766,0.994234,0,0
0,12,25000000,3537,0.14148,3458,0.13832,0.977665,0.011378,0.988622,0,0
0,13,25000000,1954,0.07816,1769,0.07076,0.905322,0.034866,0.965134,0,0
0,14,25000000,25949,1.03796,25555,1.0222,0.984816,0.014323,0.985677,3,1
0,15,25000000,7109,0.28436,6131,0.24524,0.862428,0.030486,0.969514,1,0
0,16,25000000,10383,0.41532,8371,0.33484,0.806222,0.129974,0.870026,2,0
0,17,25000000,12255,0.4902,9344,0.37376,0.762464,0.147564,0.852436,2,0
0,18,25000000,11600,0.464,10083,0.40332,0.869224,0.067911,0.932089,1,0
0,19,25000000,2088,0.08352,1946,0.07784,0.931992,0.010483,0.989517,0,0
0,20,25000000,3227,0.12908,3211,0.12844,0.995042,0.003019,0.996981,0,0
0,21,25000000,28825,1.153,28383,1.13532,0.984666,0.013983,0.986017,3,1
0,22,25000000,8721,0.34884,7934,0.31736,0.909758,0.02141,0.97859,0,0
0,23,25000000,10635,0.4254,9081,0.36324,0.853879,0.087294,0.912706,1,0
0,24,25000000,4600,0.184,4038,0.16152,0.877826,0.038302,0.9616979999999999,1,0
0,25,25000000,7251,0.29004,6443,0.25772,0.888567,0.073169,0.926831,1,0
0,26,25000000,11858,0.47432,10255,0.4102,0.864817,0.091569,0.908431,1,0
0,27,25000000,1981,0.07924,1581,0.06324,0.798082,0.029764,0.970236,1,0
0,28,25000000,14539,0.58156,14283,0.57132,0.982392,0.01574,0.98426,0,0
0,29,25000000,9806,0.39224,7916,0.31664,0.807261,0.084168,0.915832,1,0
