tid,win_id,insts,uniq4k,ppki4k,new4k,newpageski,new_frac,jac,churn,cluster_id,hot
0,0,25000000,6439,0.25756,6439,0.25756,1.0,0.0,1.0,3,0
0,1,25000000,5008,0.20032,4698,0.18792,0.938099,0.027835,0.972165,3,0
0,2,25000000,6672,0.26688,6321,0.25284,0.947392,0.030982,0.969018,3,0
0,3,25000000,11217,0.44868,10222,0.40888,0.911295,0.058897,0.941103,2,1
0,4,25000000,12009,0.48036,9163,0.36652,0.763011,0.139647,0.860353,0,0
0,5,25000000,6595,0.2638,5842,0.23368,0.885823,0.042183,0.957817,1,0
0,6,25000000,10472,0.41888,10017,0.40068,0.956551,0.02739,0.97261,2,1
0,7,25000000,5281,0.21124,5073,0.20292,0.960614,0.013381,0.986619,3,0
0,8,25000000,6615,0.2646,6528,0.26112,0.986848,0.007367,0.992633,3,0
0,9,25000000,5023,0.20092,4738,0.18952,0.943261,0.025103,0.974897,3,0
0,10,25000000,9132,0.36528,8917,0.35668,0.976456,0.015423,0.984577,2,1
0,11,25000000,6025,0.241,5514,0.22056,0.915187,0.03489,0.96511,1,0
0,12,25000000,5053,0.20212,5022,0.20088,0.993865,0.002806,0.997194,3,0
0,13,25000000,10679,0.42716,10579,0.42316,0.990636,0.006397,0.993603,2,1
0,14,25000000,6806,0.27224,5407,0.21628,0.794446,0.08697,0.91303,0,0
0,15,25000000,10962,0.43848,9525,0.381,0.868911,0.087992,0.912008,2,1
0,16,25000000,5755,0.2302,5540,0.2216,0.962641,0.013029,0.986971,3,0
0,17,25000000,9516,0.38064,9276,0.37104,0.974779,0.015967,0.984033,2,1
0,18,25000000,9912,0.39648,7616,0.30464,0.768362,0.134018,0.865982,0,0
0,19,25000000,9465,0.3786,7044,0.28176,0.744216,0.142781,0.857219,0,0
0,20,25000000,7808,0.31232,6470,0.2588,0.828637,0.083966,0.916034,0,0
0,21,25000000,7351,0.29404,6769,0.27076,0.920827,0.039926,0.960074,1,0
0,22,25000000,8263,0.33052,7656,0.30624,0.92654,0.040448,0.959552,1,0
0,23,25000000,6858,0.27432,6316,0.25264,0.920968,0.037177,0.962823,1,0
0,24,25000000,7483,0.29932,7057,0.28228,0.943071,0.030614,0.969386,1,0
0,25,25000000,5193,0.20772,4994,0.19976,0.961679,0.015949,0.984051,3,0
0,26,25000000,5201,0.20804,5094,0.20376,0.979427,0.010401,0.989599,3,0
0,27,25000000,6238,0.24952,6034,0.24136,0.967297,0.018158,0.981842,3,0
0,28,25000000,6695,0.2678,5827,0.23308,0.870351,0.071944,0.928056,1,0
0,29,25000000,6686,0.26744,6347,0.25388,0.949297,0.025993,0.974007,3,0
0,30,25000000,7603,0.30412,7107,0.28428,0.934763,0.03596,0.96404,1,0
0,31,25000000,8126,0.32504,7086,0.28344,0.872016,0.070801,0.929199,1,0
0,32,25000000,5889,0.23556,5186,0.20744,0.880625,0.052809,0.947191,1,0
0,33,25000000,5807,0.23228,5460,0.2184,0.940245,0.030575,0.969425,3,0
0,34,25000000,6404,0.25616,6237,0.24948,0.973923,0.013866,0.986134,3,0
0,35,25000000,7500,0.3,7199,0.28796,0.959867,0.022127,0.977873,3,0
0,36,25000000,6383,0.25532,5841,0.23364,0.915087,0.040627,0.959373,1,0
0,37,25000000,7369,0.29476,6783,0.27132,0.920478,0.044509,0.955491,1,0
0,38,25000000,6906,0.27624,6468,0.25872,0.936577,0.031654,0.968346,1,0
